"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the student application","Check if the user can get all student details","SUCCESS","2022-01-25T23:37:20.094Z[Europe/London]","0.0","6.03"
"Testing different request on the student application","Check if user can create, read, update and delete a record","SUCCESS","2022-01-25T23:37:28.480Z[Europe/London]","0.0","2.87"
