"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test with steps","This will create a new student","SUCCESS","2022-01-25T23:37:32.041Z[Europe/London]","0.0","0.35"
"Student CURD test with steps","Verify if the student was added to the application","SUCCESS","2022-01-25T23:37:32.533Z[Europe/London]","0.0","0.21"
"Student CURD test with steps","Update the user information and verify the updated information","SUCCESS","2022-01-25T23:37:32.893Z[Europe/London]","0.0","0.23"
"Student CURD test with steps","Delete the student and verify if the student is deleted!","SUCCESS","2022-01-25T23:37:33.260Z[Europe/London]","0.0","0.18"
"Testing different request on the student application","Check if the user can get all student details","SUCCESS","2022-01-25T23:37:20.094Z[Europe/London]","0.0","6.03"
"Testing different request on the student application","Check if user can create, read, update and delete a record","SUCCESS","2022-01-25T23:37:28.480Z[Europe/London]","0.0","2.87"
